Nr,Key,Source,Category
143,FactoryGenerator, https://github.com/westermo/FactoryGenerator,DependencyInjection
144,depso, https://github.com/notanaverageman/Depso,DependencyInjection
145,DotnetYang, https://github.com/westermo/DotnetYang,FilesToCode
146,RSCG_IFormattable, https://github.com/ignatandrei/rscg_iformattable/,Templating
147,JKToolKit.TemplatePropertyGenerator, https://github.com/JKamsker/JKToolKit.TemplatePropertyGenerator,Templating
148,ThisAssembly.Constants, https://github.com/devlooped/ThisAssembly,EnhancementProject
149,Pekspro.BuildInformationGenerator, https://github.com/pekspro/BuildInformationGenerator,EnhancementProject
150,ThisAssembly.Metadata, https://github.com/devlooped/ThisAssembly,EnhancementProject
151,ThisAssembly.Strings, https://github.com/devlooped/ThisAssembly,FilesToCode
152,ServiceScan.SourceGenerator, https://github.com/Dreamescaper/ServiceScan.SourceGenerator,DependencyInjection
153,RSCG_ExportDiagram, https://github.com/ignatandrei/RSCG_ExportDiagram,EnhancementProject
154,fluentify, https://github.com/MooVC/fluentify,Builder
155,Coplt.Dropping, https://github.com/2A5F/Coplt.Dropping,Disposer
156,RSCG_NameGenerator, https://github.com/ignatandrei/NameGenerator/,EnhancementProject
157,Sera.Union, https://github.com/sera-net/Sera.Union,FunctionalProgramming
158,Enhanced.GetTypes, https://github.com/duskembayev/Enhanced.GetTypes,EnhancementClass
159,LightweightObjectMapper, https://github.com/stratosblue/LightweightObjectMapper,Mapper
160,Dusharp, https://github.com/kolebynov/Dusharp,FunctionalProgramming
161,Immediate.Handlers, https://github.com/immediateplatform/Immediate.Handlers,Mediator
